equipment_id,timestamp,health_state,health_state_name,tool_wear_min,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,maintenance_action,original_type,operating_hours,equipment_age_cycles
EQUIP_001,2024-07-23 22:32:16.408640,1,Poor,136.52300092892136,301.88520709648645,316.1907541524028,977.4423885126421,65.7467730022133,Light Maintenance,L,0,0
EQUIP_001,2024-07-24 06:32:16.408640,2,Fair,95.61448123054656,304.1624198049793,314.9575931228852,1023.0275101925826,53.56612645766127,Light Maintenance,L,8,0
EQUIP_001,2024-07-24 14:32:16.408640,3,Good,66.96627406377513,301.27074827355324,310.7181566447746,1158.0091049144164,48.5706113000096,Light Maintenance,L,16,0
EQUIP_001,2024-07-24 22:32:16.408640,3,Good,67.07158234564254,303.8653526860758,313.2382971699159,1260.0907325153728,46.77451828788196,None,L,24,0
EQUIP_001,2024-07-25 06:32:16.408640,2,Fair,67.16305646969134,301.7503288098359,312.6391998230992,1252.422818219446,48.47136098762717,None,L,32,0
EQUIP_001,2024-07-25 14:32:16.408640,3,Good,67.43225200682966,303.17753274557776,311.64631285602223,1261.9206297631047,45.68395111001375,None,L,40,0
EQUIP_001,2024-07-25 22:32:16.408640,2,Fair,67.53051008670418,303.2408460104702,313.4149035504578,1251.1269161350174,46.677417800620034,None,L,48,0
EQUIP_001,2024-07-26 06:32:16.408640,3,Good,67.57547888384681,302.6660700213072,310.7826464124644,1263.8640570843356,48.93005543186602,None,L,56,0
EQUIP_001,2024-07-26 14:32:16.408640,3,Good,67.70231882488586,303.2459328956488,312.2586682524042,1250.4441831105755,50.40901675716073,None,L,64,0
EQUIP_001,2024-07-26 22:32:16.408640,2,Fair,67.86581655082219,301.12086542505875,311.6876199943495,1273.0530552782839,52.52499377354874,None,L,72,0
EQUIP_001,2024-07-27 06:32:16.408640,2,Fair,67.89850629962466,302.2193351727387,314.17685634292553,1287.896072798717,49.65934577204061,None,L,80,0
EQUIP_001,2024-07-27 14:32:16.408640,2,Fair,68.12913327637834,302.39266113842586,313.12256241273866,1257.420334427764,45.64674498193374,None,L,88,0
EQUIP_001,2024-07-27 22:32:16.408640,2,Fair,68.18251125363598,300.7083960074571,312.3089411912536,1245.0353368199242,51.62759269745235,None,L,96,0
EQUIP_001,2024-07-28 06:32:16.408640,1,Poor,68.28891763440214,302.4031968615614,315.1445557236691,1240.5892324866882,49.07056558047702,None,L,104,0
EQUIP_001,2024-07-28 14:32:16.408640,2,Fair,68.48447434456979,301.9895531883808,313.6081560633091,1249.630131660845,46.83589285084037,None,L,112,0
EQUIP_001,2024-07-28 22:32:16.408640,1,Poor,68.54349741525004,302.1284822819597,314.2445259181723,1293.144485574208,50.11325637559275,None,L,120,0
EQUIP_001,2024-07-29 06:32:16.408640,1,Poor,68.62563902568294,300.5229536769543,313.69593508590197,1304.7886408641043,49.35988562181699,None,L,128,0
EQUIP_001,2024-07-29 14:32:16.408640,2,Fair,68.72999200180614,303.5137200041709,314.79787094549226,1270.023377999332,47.885794713814164,None,L,136,0
EQUIP_001,2024-07-29 22:32:16.408640,3,Good,68.94092114633715,303.7791677413959,312.0215230791291,1241.420251499716,49.971606361450455,None,L,144,0
EQUIP_001,2024-07-30 06:32:16.408640,1,Poor,68.99579699146942,300.6550966600158,313.70909472423057,1231.0330410528438,50.743977466323926,None,L,152,0
EQUIP_001,2024-07-30 14:32:16.408640,2,Fair,69.12594731583725,302.1292486139537,312.3534755328567,1245.8954507832316,51.44878573035261,None,L,160,0
EQUIP_001,2024-07-30 22:32:16.408640,1,Poor,69.15240421868563,300.5944245240079,313.8938509475993,1257.8095021751806,51.38433759819746,None,L,168,0
EQUIP_001,2024-07-31 06:32:16.408640,1,Poor,69.35090086659545,301.3811137837774,313.9981585327445,1258.9965664268977,48.37764652147538,None,L,176,0
EQUIP_001,2024-07-31 14:32:16.408640,3,Good,69.4501431121773,302.61060529112393,312.46436965063543,1290.0171502971334,50.75928237880636,None,L,184,0
EQUIP_001,2024-07-31 22:32:16.408640,1,Poor,69.59044822227244,301.288188716783,315.4422474210918,1234.2143300253242,51.77309518849059,None,L,192,0
EQUIP_001,2024-08-01 06:32:16.408640,2,Fair,69.70336713971051,302.04023929957805,312.4031753299053,1232.4534251002033,48.108668359765836,None,L,200,0
EQUIP_001,2024-08-01 14:32:16.408640,2,Fair,69.85725950922759,302.0463139621877,313.6206498792028,1280.2993074886672,49.24988008300864,None,L,208,0
EQUIP_001,2024-08-01 22:32:16.408640,1,Poor,70.26837252931197,301.16542805282165,314.36674316322143,1244.4782700828519,51.28141461146277,None,L,216,0
EQUIP_001,2024-08-02 06:32:16.408640,3,Good,70.34394722186006,303.0832395947936,312.256208696316,1217.6138918548902,48.890268625851505,None,L,224,0
EQUIP_001,2024-08-02 14:32:16.408640,2,Fair,70.49568547724003,302.483257303525,314.21160509158307,1230.1681226130102,50.13323370569042,None,L,232,0
EQUIP_001,2024-08-02 22:32:16.408640,1,Poor,70.6676069571862,302.354363180933,315.3195422143122,1269.620320122698,46.97953709134587,None,L,240,0
EQUIP_001,2024-08-03 06:32:16.408640,1,Poor,70.70387937074288,302.8443490853678,319.70787384993537,1259.5483691600332,52.16559190730724,None,L,248,0
EQUIP_001,2024-08-03 14:32:16.408640,3,Good,70.803124695784,302.4862315226612,312.3746310885047,1242.5842922289855,48.824663809378606,None,L,256,0
EQUIP_001,2024-08-03 22:32:16.408640,3,Good,70.89185549226826,303.0255052587126,311.0425869478482,1237.4643812825648,52.07577350124164,None,L,264,0
EQUIP_001,2024-08-04 06:32:16.408640,2,Fair,71.12194040679445,302.43574271661925,312.44316009993116,1250.9720869140833,49.930423398748964,None,L,272,0
EQUIP_001,2024-08-04 14:32:16.408640,1,Poor,71.16989265264593,300.1614091074467,313.8953492031156,1232.702802100604,51.59708641487935,None,L,280,0
EQUIP_001,2024-08-04 22:32:16.408640,3,Good,71.2126741695762,304.0544795308103,312.84762448807436,1232.7473676712175,53.48276008177171,None,L,288,0
EQUIP_001,2024-08-05 06:32:16.408640,2,Fair,71.32497774005284,304.5381893746964,315.23337607700256,1214.5319934367658,48.84355797253657,None,L,296,0
EQUIP_001,2024-08-05 14:32:16.408640,3,Good,71.39390754701844,304.27456409526843,308.47173822737665,1224.5380453130704,49.32390501728964,None,L,304,0
EQUIP_001,2024-08-05 22:32:16.408640,2,Fair,71.41985944549835,301.83582959767944,313.80686285657396,1275.3507243893707,46.88239823332066,None,L,312,0
EQUIP_001,2024-08-06 06:32:16.408640,2,Fair,71.5321625275228,303.25834926465507,313.91454442298806,1232.8726359101286,49.993775463822246,None,L,320,0
EQUIP_001,2024-08-06 14:32:16.408640,3,Good,71.59301635918165,303.9709156864989,311.6438870701812,1289.1087750677316,45.82207021003962,None,L,328,0
EQUIP_001,2024-08-06 22:32:16.408640,2,Fair,71.70804657454086,302.18567468293185,314.04412593827,1231.873670124866,49.4257623670064,None,L,336,0
EQUIP_001,2024-08-07 06:32:16.408640,1,Poor,71.76343578650675,301.6798423774569,314.9409875897434,1251.9311990141275,48.42671512846415,None,L,344,0
EQUIP_001,2024-08-07 14:32:16.408640,3,Good,71.87238930654014,302.91178558390095,312.2913258242486,1232.6644185313364,51.40364456970091,None,L,352,0
EQUIP_001,2024-08-07 22:32:16.408640,3,Good,72.00165725225983,303.6448965180334,312.6659495651371,1255.1341680589942,49.44748618976588,None,L,360,0
EQUIP_001,2024-08-08 06:32:16.408640,1,Poor,72.23078810098849,301.8378693232399,315.6589667848954,1243.5755866531313,51.28075943265491,None,L,368,0
EQUIP_001,2024-08-08 14:32:16.408640,2,Fair,72.29565538187735,302.640877311137,313.39472199645894,1244.9479161601403,51.10368701082672,None,L,376,0
EQUIP_001,2024-08-08 22:32:16.408640,1,Poor,72.30858124171179,301.83018602853565,315.4267533364791,1259.2550335126223,51.16393416709821,None,L,384,0
EQUIP_001,2024-08-09 06:32:16.408640,2,Fair,72.43941026313533,302.3796148642848,312.5332012669388,1262.6479435047,49.5755362590445,None,L,392,0
EQUIP_001,2024-08-09 14:32:16.408640,2,Fair,72.5689786846062,303.7264092798315,313.9859940357138,1231.6427004490265,48.910544305619865,None,L,400,0
EQUIP_001,2024-08-09 22:32:16.408640,2,Fair,72.6682061535187,300.77861041753965,311.38193093178603,1226.971266566823,49.44583698739464,None,L,408,0
EQUIP_001,2024-08-10 06:32:16.408640,2,Fair,72.8995194558695,301.98271288031407,313.59281701564186,1227.0110977736733,49.79476524266135,None,L,416,0
EQUIP_001,2024-08-10 14:32:16.408640,1,Poor,73.00546818235642,301.43169037414333,314.37572850679936,1242.6221779440045,46.91095040504603,None,L,424,0
EQUIP_001,2024-08-10 22:32:16.408640,1,Poor,73.04532601036435,302.37311581051176,315.1486065392743,1250.4507345734705,50.0114236913845,None,L,432,0
EQUIP_001,2024-08-11 06:32:16.408640,1,Poor,73.26181064323309,303.3058796133632,315.4881052222589,1277.5348900261667,49.67699584407134,None,L,440,0
EQUIP_001,2024-08-11 14:32:16.408640,3,Good,73.4253856700509,302.1345724110453,311.46813646173445,1260.8478932210667,46.17056085540912,None,L,448,0
EQUIP_001,2024-08-11 22:32:16.408640,2,Fair,73.53278313309266,304.2681215175974,314.4990236701231,1259.2389744455058,51.44870627932844,None,L,456,0
